date,WIRELESS,FTTB,FTTN,FTTP,SATELLITE,HFC,FTTC,NULL
2026-03-17,48055,1041,79276,168808,7015,13,1,7596
2026-03-24,48055,1041,79276,168808,7015,13,1,7596
2026-03-31,48055,1041,79276,168808,7015,13,1,7596
2026-04-07,48055,1041,79276,168808,7015,13,1,7596
2026-04-14,48055,1041,79276,168808,7015,13,1,7596
2026-04-21,48055,1041,79276,168808,7015,13,1,7596
2026-04-28,48055,1041,79276,168808,7015,13,1,7596
2026-05-05,48055,1041,79276,168808,7015,13,1,7596
2026-05-12,48055,1041,79276,168808,7015,13,1,7596
2026-05-19,48055,1041,79276,168808,7015,13,1,7596
2026-05-26,48055,1041,79276,168808,7015,13,1,7596
2026-06-02,48055,1041,79276,168808,7015,13,1,7596
2026-06-09,48055,1041,79276,168808,7015,13,1,7596
2026-06-16,48055,1041,79276,168808,7015,13,1,7596
2026-06-23,48055,1041,79276,168808,7015,13,1,7596
2026-06-30,48055,1041,79276,168808,7015,13,1,7596
2026-07-07,48055,1041,79276,168808,7015,13,1,7596
2026-07-14,48055,1041,79276,168808,7015,13,1,7596
2026-07-21,48055,1041,79276,168808,7015,13,1,7596
2026-07-28,48055,1041,79276,168808,7015,13,1,7596
2026-08-04,48055,1041,79276,168808,7015,13,1,7596
2026-08-11,48055,1041,79276,168808,7015,13,1,7596
2026-08-18,48055,1041,79276,168808,7015,13,1,7596
2026-08-25,48055,1041,79276,168808,7015,13,1,7596
