date,WIRELESS,FTTB,FTTN,FTTP,SATELLITE,HFC,FTTC,NULL
2026-03-03,4984,1953,10198,66908,3605,35,3,6648
2026-03-10,4984,1953,10198,66908,3605,35,3,6648
2026-03-17,4984,1953,10198,66908,3605,35,3,6648
2026-03-24,4984,1953,10198,66908,3605,35,3,6648
2026-03-31,4984,1953,10198,66908,3605,35,3,6648
2026-04-07,4984,1953,10198,66908,3605,35,3,6648
2026-04-14,4984,1953,10198,66908,3605,35,3,6648
2026-04-21,4984,1953,10198,66908,3605,35,3,6648
2026-04-28,4984,1953,10198,66908,3605,35,3,6648
2026-05-05,4984,1953,10198,66908,3605,35,3,6648
2026-05-12,4984,1953,10198,66908,3605,35,3,6648
2026-05-19,4984,1953,10198,66908,3605,35,3,6648
2026-05-26,4984,1953,10198,66908,3605,35,3,6648
2026-06-02,4984,1953,10198,66908,3605,35,3,6648
2026-06-09,4984,1953,10198,66908,3605,35,3,6648
2026-06-16,4984,1953,10198,66908,3605,35,3,6648
2026-06-23,4984,1953,10198,66908,3605,35,3,6648
2026-06-30,4984,1953,10198,66908,3605,35,3,6648
2026-07-07,4984,1953,10198,66908,3605,35,3,6648
2026-07-14,4984,1953,10198,66908,3605,35,3,6648
2026-07-21,4984,1953,10198,66908,3605,35,3,6648
2026-07-28,4984,1953,10198,66908,3605,35,3,6648
2026-08-04,4984,1953,10198,66908,3605,35,3,6648
2026-08-11,4984,1953,10198,66908,3605,35,3,6648
2026-08-18,4984,1953,10198,66908,3605,35,3,6648
2026-08-25,4984,1953,10198,66908,3605,35,3,6648
