date,WIRELESS,FTTB,FTTN,FTTP,SATELLITE,HFC,FTTC,NULL
2026-03-24,0,11414,120382,84139,92,6,6277,5583
2026-03-31,0,11414,120382,84139,92,6,6277,5583
2026-04-07,0,11414,120382,84139,92,6,6277,5583
2026-04-14,0,11414,120382,84139,92,6,6277,5583
2026-04-21,0,11414,120382,84139,92,6,6277,5583
2026-04-28,0,11414,120382,84139,92,6,6277,5583
2026-05-05,0,11414,120382,84139,92,6,6277,5583
2026-05-12,0,11414,120382,84139,92,6,6277,5583
2026-05-19,0,11414,120382,84139,92,6,6277,5583
2026-05-26,0,11414,120382,84139,92,6,6277,5583
2026-06-02,0,11414,120382,84139,92,6,6277,5583
2026-06-09,0,11414,120382,84139,92,6,6277,5583
2026-06-16,0,11414,120382,84139,92,6,6277,5583
2026-06-23,0,11414,120382,84139,92,6,6277,5583
2026-06-30,0,11414,120382,84139,92,6,6277,5583
2026-07-07,0,11414,120382,84139,92,6,6277,5583
2026-07-14,0,11414,120382,84139,92,6,6277,5583
2026-07-21,0,11414,120382,84139,92,6,6277,5583
2026-07-28,0,11414,120382,84139,92,6,6277,5583
2026-08-04,0,11414,120382,84139,92,6,6277,5583
2026-08-11,0,11414,120382,84139,92,6,6277,5583
2026-08-18,0,11414,120382,84139,92,6,6277,5583
2026-08-25,0,11414,120382,84139,92,6,6277,5583
